sentence	lable
un dat ofschwaorns dat Gehüle vanne Sirenen jüst säo iäwen am afebben was .	0
aver kriggt de allens to weten ?	1
„ Dao ligg , du Bedraiger ! “ siet he un kyket sik no den annern üm ; män dai sidd duar den Jan. Will datte Leawensmiddel genaug heat , so blitte ock den annern Dag noch dao un liet sik am Aowend wyer in dai Kammer , bo hai de Nacht tevüaren weast was .	0
aver woneem wullt Du mi un Maria hinpacken , wenn de Leutnant de Hoochstuuv krigen deit ? «	1
wu stark is dei Feste !	0
ower do was et noch nit met gutt , sondern Nätte wor krank un starf ock .	0
» Du grundgode Gott !	1
awwer betohlt kräig hai nix .	0
ik smäit düöräin ase Nuteschalen De Länn ’ r met dullem Kopp ; Wai bey mey woll ne Kraune halen , Diäm satt ik enne op .	0
dä Mann schrappere met sine blanken Hänne diän Pamp ut diäm Napp un schlungk ne sick schmächterig daorinn .	0
besonders is de Rodlerey Fiär junge Luie feyn .	0
» Awer nu mutt ik wieder .	1
ik weet , wat Di vondaag den Weg vertreden deit – last mi eer nochmal nömen : dat is Kathrien .	1
Paul wööl sik mit beide Hannen in de Haar .	1
ower Isegrim , Ih , un Brun , Ih ielet jo gewaltig , Auen Öihmen taum Doue te brängen ; Ih meint , et gelänge .	0
> Ich war in Stalingrad , das war die Hölle , aber hier , das ist der Weltuntergang .	0
„ Jossef , dät gett doch nit .	0
hei huap 're , Selwst éin Stück ' te gewinnen .	0
lôt't uns je êger je leiwer dian Grund diar Geschichte verniahmen .	0
drüm niähm dat Gechenk ân , wat iëck di 'schicket hewwe .	0
en lange Tiet harr ik in mien egen Huus nix to seggen , un wenn mien Matties ni toletzt to Vernunft kamen weer , harr mi dat sach gaan as Wiebn Mollt .	1
alles , wat Jakob hiät , dat häört van rächtswiägen unsem Vâer .	0
Isegrim schwuor met heftigen Worden un dröggenden Blicken : Reineke wör éin Verräter , éin Deiw , éin Mörder un aller Unduét schüllig , hei wör op Gewalt un Ehebrüek betrian , Falsk in jéigliéker Sake ; dat gällte Liawen ümm ' Liawen !	0
wat anner Lüüd in Bülgen över ' n Kopp tosamen sleit , dat spööl Di blot an de Fööt ran , dach ik bether .	1
nich lang ’ n dorna reed de Buervaag ut Klenzau laat ut de Stadt , as de Klock ęben twölf slagen harr .	1
Näi , dat kann ' k nit ! « Guott owwer saġġe : » Duoch , dat kanns du !	0
wuahl blögget hey un do nau ’ n Rausenkind , doch seynen Rüek verwägget hiät de Wind , un balle liät dai schoinen Bläekes fiul un verloten in en Päekes .	0
» Wat ? « reep Klaas un keek den Schoster an .	1
hei harre Juda vüörrut'eschicket , daomet hei Josef mellen konn , dat se käämen , un hei woll , dat Josef nao Gosen kääme .	0
dropp saġġe de Häär tiëger Mose : » Iëck well dei Amalekiters bit op't lesste utruotten , dat nümmes mäh an düet Volk denket. « Moses buggere dao en Altaor un näumere 'ne : > Unse Feld-Täiken es de Häär < .	0
aver ik kann Di verstaan .	1
Maren sweeg un stopp iverig wider .	1
wann iëhrt tau mi in min Hilligdum küömmet , dann mott iëhrt Opfergawen metbrängen .	0
Veränderunge harre geren , Un konn vam Dokter Mäckes weeren .	0
bei ' e dröffet iëhrt nit in dat Land gaohn , wîl dat iëhrt mi an diäm Springel van Meriba bei Kadesch in diär Wäuste Zin vüör diän Ougen van allen Israeliten nit 'efröchet hett , dat iëck bolle 'ne nit bewîsen konnt , dat iëck de hillige un mächtige Guott bün .	0
» En Stafett von Wrist , – schull sach na Itzho – de reep dat Persepter un den Buurvaagt to in 't Vörbijagen « , see Geschen .	1
awer de Stuv is noch ümmer to lütt .	1
dei Pilger Bräng't miék ümm ' !	0
ümmer wedder müß he fragen , wat Elsbe Suhr un Lena Lopen von em seggt harrn .	1
adüüs !	1
et bliewet Au luter Mine Verwandten te fröchten un mine Frönge ; dogiéger , Wann Ih miék schount , verlôt't Ih met Ruhm un Ehren dian Strietplass , Schienet jéidwéidem edel un wiese : denn högger vermag siék Keimes te hiéwen , as wann hei vergiétt .	0
hei sochte Leda , fungk blouß Nena .	0
denn nodiam hei nu alles besuarr't , sou ielde min Vadder Üewer Feld un woll sinen Schatz ouk widder beseihen .	0
iëck sin de Guott , dä alle Macht hiät .	0
bläouß oinmal im Jaohr füör oinen Muanat was iek ganz alloine in ` nem Doarp j.w.d .. Moistendoils laderen dai Luie miek in .	0
dann dee he Kauhscheyte op de Schwarte , haffte se in de Hoih un frogere deän Nüebolds Pappa : „ Onkel , soll ich mal “ ?	0
dä Tauhäörers wäörn reine ut 'm Hüüsken , bao vi op Schlagers ümmstiëgen un ne Wunschutwaohl präsentäiern konnen .	0
ja , dat weer man wegen den Handslag , den ik dahn harr .	1
dar föör uns mal hin , heff em al lang mal seen wullt ! «	1
dät passiäiert jo mannechmol .	0
wat mat me jetzunner doch Mauden erliäwen !	0
Ach könn iek der doch en äinzeg Mol nau in de Augen kucken , im Siätel hingerm Iäweken nau äinmol an se bucken !	0
hei saoğ , dat de Häär iëhne verlaoten harre un op diär Sîte van David stont .	0
et Hiärte daiht eyme weyh , bann me se ansuiht .	0
» Dat se as de Düvel en Stank trüchlaat , mutt ik mi jo gefallen laten ! «	1
un Dien Grootmoder ? «	1
widder soh me doselwst éin éig'nes Stücksken vam Wulw , Wu hei te danken bereit is fiar Guéres , dat hei erhallen .	0
ik ligg hier dre Daag – de Hund verhungert ! « En Günsen keem ut ' e Eck , de Hund har sik noch ni von de Stell röögt .	1
diäm Gaste un sinen Lüüen brache me Water , dat se siëck de Fäute waschen konnt .	0
gnädiger Hêrr , do word Ih bekümmert : et schéin Au dei Sake Gar bedenkliék te sin un rechtliék schwor te entschéien .	0
. “ „ Usse Settken , äinmol Reister Market - dä ! “	0
as nu iähr Mann kam , un sei taum Metiäten dreew , do saggte sei : „ och Goadd !	0
sai nahm ' e seynen Blaimenströiß un dät Schreyben vam Rothöise , hällte doap Luft un gong in de gurre Stuobe .	0
besunners de ganze Umgegend vun Tellingsted , vun Gaushorn bet Tielen , vun ' e Au bet an ' e Eider woor een spökelig , so dat man ok bi Dag ' de Hacken scharp optrock , wenn man mal alleen gung un achter een wat rassel oder sick röhr .	1
in deynen Dählern , op d ’ n Hoih ’ n , Do is ’ t sau prächtig , o sau schoin !	0
dei Lüü van Jerusalem wäären tehoupe 'kuommen un hüüleren harre , wil dat dei Zaldaoten ut diär Stâdt aftröcken .	0
O , wöre iék stuarwen !	0
kum weer he ut de Dör , so keem en Gestalt ut de Köök , de frielich sien Dochter , aver op en Aart ganz sien Gegenpart weer .	1
» Bo sind iëhrt van wäġġ ? « freiġ Jakob dei Häiërn .	0
» Ik ga aver ni mit !	1
de Oostsee süüt nu to Sommertiet eben so fraam ut as Lena Bassen in de Kark , so drömerig , bina verslapen , un so smuck !	1
op sinen Husnamen kann sick nümmes mäh besinnen .	0
blous in diär Provinz Goschen , bo dei Israeliten liäweren , dao foll kein Hagel .	0
vättig Dage langk trat Goliath et muorgens un et aowends rut un proahlere .	0
dat hett : dei Tîen wannelt siëck un met diän Tîen , wannelt siëck dei Lüü .	0
denn diar sei vergiéw't me dei Sünden un löiset dei Völker Ut diam Banne .	0
un wat sit dat doch ok füör erbiärmlige Wichter , dei noch nit hädd ankieken küönnen leiwe Damengesichte !	0
„ Papentrug un Wiewerlist hewt manniges Unheel angehißt. “ – Wamme alle Unheele un Afscheulichkeiten , dei van jehiär düörch Papentrug un Wiewerlist in der Welt gespauket hädd , blos iäwen kuart anmiärken wüll , dann küömme woal manniges Ries Popier voll schriewen , un me kiäm doch nit te Enne , – Ueöwrigens owwer mag ok düörch Papen- un Wiewerklaukheit tewielen an eenigen Oarden woal manniges Guode int Wiärk gesatt worden sien , wo anderer Lüh Klaukheit nicks utterichten wußte .	0
» Maren hett eer Gedanken ümmer nett tosamen un hett de Ogen överall. «	1
un sou harre denn Reineke wiér dei Leiwe dias Küenigs Vollop gewunnen un gong met grouten Ehren vam Huawe , Schéin met Holster un Piék no diam Hiéligen Grawe te wallen , Harr ' hei do gliek sou wiénig te daun , as éin Maiboum in Aachen .	0
hei sagte viarhiar met gleißenden Worden : sine Frau Möihne füng ' iék doselwst ; hei meinde dei Äffin .	0
nu kunn se mal seen , dat se in Dörp ok doch gode Frünnen harr .	1
Reykes un Bättken wören niu alt un balle verslieten , ’ t Silwer was in d ’ n Hooren , de Üargel in d ’ r Buast , ’ t Biewern innen Hännen , un ’ t Knicken innen Bäinen .	0
vui fraoget ues mangest : bat könnt vui uesen Kinnern veriärwen : en Hius , en Grundstücke , Geld… Äok wann´t ne ganze Menge wüör´… et ies wahne wennig !	0
so stree ' ick mi denn jümmer wedder mit den söten Slap , un blot Anna ehr Ween steek mi jedesmal an un weck mi trurig op .	1
wenn de Barbeer darto keem , gew't oft en Snack , as weer't egens vær Willem utdacht .	1
» O denn kunn de Herr so god wesen un mi en paar von min Paketen mit in den Tog langen .	1
sou as de Häär dat ân'ekünniget harre , leit Nebukadnezar ouk all dei güllenen Geräinen kuort schlaon , bekke Salomon füör diän Tempel harre maken laoten .	0
de Wilddeewerie weer fröher bi uns to Lann ' gar keen grotes Verbreken .	1
sou küerd ' hei allerwiägen rüm .	0
» Oh mien Dochter ! « reep de ool Fru un faat er bi de Hand , » ik heff Di woll to veel totruut , Du kannst sowat ni hören , ik will opholen ... «	1
Hansohm harr en starken Handel mit Botter na't Süden to , dat interesseer mi damals frielich wenig , as dat ick se so dick op't Brot smern dörß as ick much .	1
wann dei Sunne opstäig , dao schmolt dat , wat nit op'esammelt was , sou as Buotter .	0
dao bläif se üöwwer drei Mounde langk staohn .	0
aff un an kurr en wille Duv in de hogen Dann gegenöver .	1
Mînswiägen , dat konnt iëhrt herwwen !	0
jo , wai ’ t taum Gefreiten mol bracht , Dai – segget se bey d ’ n Saldoten – Kann steygen taur höggesten Macht .	0
derhalwer konnen se nit binäin blîwen .	0
Schützen- , Krieger- , Turnerfäste , Fäste van d ’ r Fuierwiähr , Allerwiägen frauhe Gäste , Wo de Musik kümmet hiär ; Un wat nau dät Wahre is : se verdaint vyel , dät is g ’ wiß. “ Fritzken , was säß Johr niu woren , Mochte in de Schaule gohn ; ‘ t halp kein Birren , ‘ t halp kein Rohren , Wann de Opstand slecht woll grohn ; Mutter syet : „ Stoh op geswind !	0
villichte brüük'se bolle dat Popäiërken met : « This man is checked and screaned » . ''	0
» An de Oren müßt Du wat hebben , Du Spitzboov , Du ... «	1
dei Schrift an diär Wand	0
» Du büst mien lütt Lerch , de mi allens luut vörsingen mutt , wat se op ' n Harten hett !	1
Üöwwerköppsch	0
am anneren Muorgen saġġe de Knecht van Abraham tiëger diän Brouër un tiëger dei Mouder : » Lott miëck nu returtrecken nao minem Häären ! « Dei bei'en owwer säġġen : » Lao dat Wecht nuoch en Wîlken bi uns blîwen , blouß nuoch tiënn Dage .	0
nu höngen iättlicke Schaulmusekanten un eck en lück mähr an dä lichte Muse , an Saken , wä biätter int Aohr gengen un sau mannigem iäwen guëtt odder biätter geföllen .	0
do raip dai Biuer vam Huawe iut : „ Fräulein , niähmet ug viär diäm Ossen in Achte , dai daug nit. “ Dät Fraumenske harre ne nit verstohn und raip : „ Bitte ? “ „ Näi “ raip de Biuer , „ hai bitt nit , hai stött. “	0
säou , owwer niu gnaug van der Geschichte .	0
un achter den luurt al en Schipper , de Fracht söken deit för Lübeck .	1
wona hork se wull ?	1
Gewoanheit bliewet Gewoanheit !	0
dat küemet ant Land un däut , as ef et sik verwünnerde , dat et iän säo muodersiälich alläine op der Insel andräpe .	0
vey kamen trotzdeäm guett benain äüt .	0
Elkana , wat iëhr Mann was , was daomet inverstaohn .	0
vî sind alle dine Sklawen , sou as dä , bi diäm du diän Biäcker 'efungen hiäs. « Owwer Josef saġġe : » Näi , näi , näi !	0
du steist naher op un maakst eerst en groot Pakeet för de Bolten , denn hebbt wenigstens de Gören en vergnöögte Stunn – vergitt de Botter nich , Mike !	1
man to , man to !	1
iëck well miëck met iëhme miätten ! « Saul owwer sağğe tiëger David : » Du büs wuohl nit ganz gescheut !	0
dao sagg dä Pannekauken : `` Iëck sin twäi Däiërnkes afflëaupen , däm Männeken Grîsebaort un dem Hasen Wittkopp ; dai , Foss Dickstiärt , sa ' ck wuoll wâren ! ''	0
wo sünd de annern denn ?	1
viéle wéit iék am Huawe , dei miék verfolget .	0
rutkieken in Tofredenheit up all ' de Lebenswintersorgen , de glücklich dahn sünd , rutkieken up de dwatschen Minschen , de dar noch buten , to lat , rümschüchtert oder den Hals nich vull kriegen künnt .	1
iék bemiark 're genau , wu hei vandage dat Fiarkel Déilde , do lahrd ' iék dian Sinn van sou 'ner Déilung begriepen ; Kall ' w oder Schwien , iék fing ' et nu licht ' un were nit fehlen .	0
erst knippt he en Og to , un wenn dat noch nich helpt , denn makt he ' n scheev Muul un kratzt sik mit ' n Finger son beten anne Back .	1
» Hett he nich enige Schrubbers bunnen , Dierk ?	1
denn snackt wi von lütt Maria , de wi nu verlaren hebbt. «	1
up enen Dag reed he also mit all sine Hoflüde herut na Boklund .	1
veel Gras , se kunnen 't nich över warrn , un in de Grabens dat klare Water – ümmer en deckten Disch un allens saftig un goot un rieklich darto !	1
je , dat kann denn ok ja nahbliewen .	1
jäideräine kräiğ en Blaosehuorn un ne Fackel , daotau ne Kruke ; dao inne söll hei dei Fackel verhäuen .	0
wenn he wedder kommt , wies em mien Graff un vertell em mien Unglück , denn warrt he mi woll verstaan .	1
et muorgens un et aowends brächen iëhme dei Rawen Brout un Fläisch .	0
dat stäiht nit in miner Macht .	0
se eet un drinkt , snackt un doht so bet Klock elben , un denn gaht se to Bett .	1
vele nemen de Muskeet to Hand un stellen sik in Reeg un Glied , un all , wat noch dänsch weer , verkroop sik oder sleek still över de Grenz na Dänemark .	1
daut mi dat duoch te leiwe un seġġt : sind iëhrt praot un wellt iëhrt minem Häären Trügge un Leiwe wîsen as Verwandte ?	0
» Wi möt uns wat stehln. «	1
( Nit blous en Flitzepääd as vi ) Sess Wiäcken Fiärgen .	0
de Dokter lach un nück un steeg de olmige Saaltrepp rop .	1
du hest woll noch ni veel Fruunslüüd ünner Hannen hatt ? « Darbi lach se em lustig an .	1
frilich de he tohör , weern je dærkam , de toschann gan weern spraken nich mit .	1
bilütten kamt Jeremias , denn he is ümmer untofreden mit de Welt un singt von ehr nix anners as Klagleeder , de Berliner Jung , Rübezahl , de Musikkapell , de Weisen ut Morgenland , Madam » von « un wie se all ' heet .	1
un denn stunnen de beiden alleen an Maren eer Lauer .	1
» Wokeen hett mitsungen ? «	1
ik heff wüüt gegen Gott un Welt un gegen mi sülben , de Minschen treden mi mit Föten – mi weer allens enerlei !	1
Richters 13,1 – 5	0
„ Do sall sau ’ n Helles Duenerwiär !	0
» Dat will ik menen ! « reep he .	1
uns ' Herrgott wiest den Dood an , he dörv jo nich allens meien , wat em vör de Leen kommt .	1
toletzt harr he en dägten Infall , un he smustergrien darbi vör sik hin .	1
vör en paar Joahren do wören dai „ Dias “ jo Mäode , dai klainen Bieler iut Plastik , dai me met Hülpe van Lecht an de Wand maket hiärt .	0
» Ja , wen n't nich anners sien kann un wieder keen Umstänn ' makt , gern. «	1
» All ni waar , Mariken !	1
dat is de Aart von all de karreerten Lüüd .	1
da klag se mi ehr Not , un da hev ik ehr inne Nach en schönen Rehbuck inne Blangdör schaben .	1
Goethe in Italien .	0
dät biättert sik awer met jedem Johr .	0
de olen Jungfern lachen luuthals un toreten Paul un Maren mit ' e Teen un geben lütt Maria Titel un Namen , de häßlich klingen un rüken deen .	1
Ih seiht , gnädiger Küenig : Üewerwältigung , Mord un Verrôt , van diar Art Verbriaken Is dei Rede ; dei werd Ih doch streng , min Küenig , bestrofen .	0
mi dünkt , Du süst ganz anners ut ' e Ogen – geit Di dat beter ? « Se rück mal an de Hoornbrill un seeg eer fründlich an .	1
dat weer en harden Kampf in de Slaapkamer , un dat Enn von 't Leed weer , dat König Gunther mit eren Görtel an Hannen un Fööt bunnen un an en dennigen Nagel hungen waar .	1
un dann äines anneren Dages , dao was wîer Chrisdağğ- mirren im Sommer : sine Mouder stont vüör iëhme , met sinem kleinen Brouër an diär Hand .	0
alles mott nigge sien , alles mott gewienert un geschrubbet weeren .	0
dei Israeliten näumeren düese Spîse Manna .	0
mit ' n rodes Panndack un en witten Schosteen , Gaarn vor un achterut. «	1
Mundağğ Klaväiërstunne Zählen !	0
denn se harr dat Krankenlager Dag un Nacht ni verlaten , ni to glöben weer 't , dat se dat utholen harr .	1
keen Minsch säd wat , un lies sleeken sik alle veer Wächters to Hus .	1
» Nix dar !	1
Reineke , sagte dei Küenig , Ih sind mi sou ielig !	0
se wüllt noch flink vör Wiehnachten un Niejahr , wo in alle Hüs so veel sadt un bradt , so veel kakt un makt ward , de letzten Schosteens fegen , dat keen Brand darin entsteiht .	1
me wäör iähm im Düstern leiwer nit in ' e Mäöte kuëmmen .	0
wat wieldeß in Ilenbeck ümgung , harr to en anner Tiet sach veel Tungen in Gang sett .	1
de Aal bitt sik in sin ' n Heethunger abends un nachts licht fast , un denn smitt man em mit en gatlichen Ruck i n't Boot .	1
alle Welt es starr van Schuëdder un Affschüü .	0
ik schriev bald mal an Se .	1
» Oh !	1
se neem eer Neitüüch tosamen un stunn op .	1
iëck selwer maut iëhme jao äines Dages in dat Dou'enrîk naofolgen .	0
» Wo oolt büst Du , Klaas Lamack ? « froog Maren basch .	1
nu is de Pott ut , wenn ik nu noch en Woort segg , kommt mien Oolsch mit de Füürtang achter mi ! « He sprung von de Tonn , un de junge Bengel witsch gau ünner en Disch dörch , dat he man weg keem .	1
– » Wat seggst Du , Maren ?	1
de blasen so kräftig up ehr Tuthörner un Trompeten , dat von Spreen un Bokfinken , Droßeln un sogar von den Specht sin Timmern nix mehr to hörn weer .	1
ik mark dat all ; » die Götter wollen dein Verderben , .	1
Vader oder Broder , Herr oder Jung sitt vær , den fat se mit den rechten Arm um , un mit de Last vun Twee oder Anderthalfe wadt de oln truen Thiern , de dat kennt , bet man se an Ort un Stell mit en Ledder oder starke Arms wedder hindal lett .	1
de Zeitung mit de trurige Naricht waar bi Siet bröcht , de beiden Deerns in Huus wüssen von nix , kunnen also nix verraden .	1
de Häär harre dei Lüü van Israel van David sinem Huse af'eschedet un sei harren Jerobeam , diän Suohn van Nebat tau iëhrem Küönig 'emaket .	0
Tyge un Paul besegen na Disch de Starken , de achter 't Holt op de Weid weren .	1
met dinem Hanswuorst-Rocke Makes du keinen Staot .	0
sei küemmt bi Willi im Saal binäin Im Stammlokal in diär Stâdt .	0
moren goh ' iék no Huawe met Au : do huap ' iék , Ih weret , Leiwer Neffe , mi helpen , sou as et Verwandten geziemet .	0
gegen den fülln de beiden olen Herrn , de nu utsteegen , förmlich weg .	1
» Ik ok , Klaas ! « lach de Deern .	1
wann wai iähm ’ in ’ t Gesichte soh , Dai dachte garnit ginternoh : „ Do heww ’ ik vüär me Tiger huaken , – Sau ’ n Mann hiät doch nau nix verbruaken. “ Biu kann doch äiner sik verriäken !	0
Elsbe Suhr babenan .	1
– Hier de Trogg !	1
vî hett allt viëll te lange 'wachet .	0
„ O Frans , de Wiäg is wat te schmal , Diu gäist sau hott un har , Yek sai ’ t , diu hiäst , dät is egal , Ne Jiuden op der Kahr. “ Frans stuachelt futt bitt an seyn Hius , Hällt wisse dann de Diär .	0
awer he weer doch woll noch öller ; denn he müß sik an en dicken Stock stütten .	1
„ Wat mäkeste Mann fiär Witze ? “ „ > Trichinenfrei < is Fritze ! “ HÜLPE IN D ’ R NAUT	0
da ist wohl kaum noch etwas zu machen .	0
nümmes van ink soll ut düese Wäuste rutkuommen , alle mott stiärwen .	0
wi harren dian Wiag taur Site verlôten , Gongen hinger diam Biarg , un éine düstere Höhle , Deip un lang , bemiarkern wi do .	0
( ... ) Sou gereit dat Volk van Juda in dei babylonische Gefangenschopp .	0
hei selwer owwer sall alltîds an minem Dische iätten. « Sou kam dat , dat Merin-Baal Wuohnunge in Jerusalem nahm , un hei ât jäiden Dağğ am Dische van David sou , as wann hei en Küönigssuohn wäör .	0
at dä Lü sick wiër ût ’ m Bunker truggeren , konnen se saihn , dat dä Russen , dä inne Baracke sîtaff hûseren , owwer nit met in ´n Bunker droffen , en Lîf van ner Frau met blauëm Kläid un blautrauten Stippen üöwer de Straote in ´ne Baubude trocken , üm dat se tiëgen de Verwesunge Kalk daodrüwer strüggeren .	0
et was dei Äffin besunders Küenig un Küenigin leiw : dat soll nu Reineken helpen .	0
hei daut nu dat , wat hei düör mi ân'ekünniget hiät : hei niähmet di dat Küönigdum af un giëtt et David .	0
dar keem to de Brandtied , wat Lust to snacken un Fierabend harr : en betern Platz darto kun n't nich geven , se hucken dar vör't Für herum , je nadem se't warm söchen un Platz funn , vör veel Bequemlichkeit weer nich sorgt : de seet op en Dreebeen , de op en Trumm , de op en umstülpten Ammer , de lehn sick gegen den Disch oder den groten Kachelaben , de natürlich nich warm weer .	1
ji weet doch , dat he nu sien smucke Bruut los is un Madam darto ? «	1
du draffs düet Volk nit verflauken , wîl dat iëck et 'esiägnet hewwe. « Am anneren Muorgen saġġe Bileam tau diän Afgesandten van Küönig Balak : » Iëhrt mott ällein nao Häime gaohn .	0
Kopp un Hiärte woaren bey iärme akkroat op der Steye , boa see henhöart , well seggen , op der richtigen .	0
» Nee , Maren , all mien Daag nich !	1
dat güng ' ok en paarmal god .	1
de Bûer , dat es di de > Lentemann < , Dä päcket diän Plaug fast ' am Stiärt .	0
– würr he krüüsch un wull keen Swattsuer mehr eeten ( un dat geev doch man dreemal inne Week Swattsuer ) – würr he ganz öwerkröppsch , förmlich grotbritannsch , un wull nich mehr ut de gewöhnliche Hakenpiep smöken , nee , ut sin beste Meerschumpiep mit dat breede sülwern Beslag wull he paffen .	1
vertell doch ... «	1
de kunn sick ok nich verdreegen ; de harrn all över en ol Voßiesen , wat Wida mal in Fot sien Koppel leegt harr un wo de sien ol lahmen Täckelhund in fastkam weer , en langen Prozeß hatt .	1
un Wiäcken later , et naches , dao wouë hei wackerig , un wîer wäären Motoren am Drüöhnen , owwer düetmaol wäären dat keine Bomber , dat wäären Panzer : de Amerikaners tröcken af , un am anneren Muorgen wäären de Russen dao .	0
in diäm kleinen Düörpken im Suerland wochte hei op sine Famillge .	0
Klaas plink eer to .	1
is dat Gefööl echt , wat Se för mien Dochter hebbt , so warrt dat sach ni verdampen in en paar Jaar – oder sünd se bang üm mien Dochter ? «	1
dei Lîken van Saul un sinen Süöhne , dei höngen se ân diär Stâdtmüüer van Bet-Schean op .	0
nu ist sie aber wieder mobil und lacht schon wieder .	1
et sunndağğs .	0
Fritz , dä den US-Kommandant met sînem stîfgedriëttenen Adjutanten daobûten im Wagen sitten harre , moch jao baolle wiër loss , hä sağğ diän leiwen Ollen , dat sä in den nöggesten 24 Stunden biätter im Hûse im Keller blîwen möchen , wilat nû baolle dä Ammi van Altenao rüöwer kuommen konn un met Oppschlağğzünders schüötte ; dat könn int Auge gaohn .	0
seġġt 'me : din Suohn Josef lött di seggen : Guott hiät miëck taum Häären üöwwer ganz Ägypten 'emaket .	0
un at sei dat Kässken uoppen dää , dao saoġ sei dat Kinnken ; dat was am Hüülen .	0
dann säġġen de Engel tiëger Lot : » Hiäs du hî süss nuoch ümmes im Huse ?	0
villichts verstott vi 'ne biätter , Vandage , Bevüör dat vi versticket In Nîlaot , Schiälsucht , Drite und Verbriäcken .	0
de Häär hiät dat sou 'ewollt .	0
» Maria un Paul in een Ramen « , sett se hinto , as se de Hauptsaak vertellt harr , » kunn ni gaan un müß en groot Elend geben .	1
O , wu versocht ' et min Wiew un woll sei häwwen !	0
de Mömme harr ’ viel te dauen , denn sai harren tweu Kögge , tweu Süege , un Hiärmen was en Fiärken .	0
se nück lies mit ' n Kopp : » Wenn Du Tiet hest. «	1
et konn ower alles nix helpen , Hiärmen mochte riut .	0
as he wiér mol besoapen haime kam , is et eämme ungen vär der Trappe mächtig löüt woorn .	0
Anneliese was de älleste Dochter van Seypen Joseph .	0
wo sai et hiär kreug , wören Hiärmen syine Suorgen nit ; wenn sai nix liewere , kreug se wot oppen Balleg .	0
Klasse , wie kommen Sie mit dem großen Gepäck hier herein ?	0
man verlor so licht de Richtung .	1
Minschenkind , büst du unklok ?	1
all as ümmer .	1
» Nix lichter as dat , Buurvaagt , ik see eer alltosamen för Buurn an ! «	1
de Deern is nischirig , geit eer na un maakt sik dar en Warf .	1
wo well iék Middel ersinnen ?	0
» Denn kreeg de Deuvel veel to doon , Paul !	1
wenn sai äuk iätwas mähr Verstand hat härren , dann härren sai sick wuol begryipen konnt , dat byi iähne nix stuohlen wor , denn do was füör kaine tweu Penninge te halen .	0
junk , junk , junk versoo .	1
darför weer de Kamer aver ok still un kölig , un keen nischirig Oog kunn eer in 't Finster luren .	1
> Jou , jou < , sağğe sin Vader , > âme Lüü es kuëdderig Volk , un becke iëhre Häimet verluorn hett , dat sind vandage dei kuëdderigsten Lüü in Düütsch- land. < Un dann kam Chrisdağğaowend .	0
un egentlich dee he dat geern , denn he weer mit Lief un Seel Soldat un meen , Stift un Pinsel weren Speeltüüch för Fruunslüüd , en starke Mannshand kunn wat Beters doon , as bunte Biller malen .	1
domet ies owwer doch gemeint , dat jede guode Hülpe etwas meehr sien maut , as dat biätken Pissen , wat dei Brut in den Rhien fleiten leit .	0
et wurden jo Isenbahnen üöwer Isenbahnen , un grote Fabriken un annere stolze Gebügge un Anloagen taum Erstaunen fast üöwerall hiän opgefohrt , un dobie in alle müögelicken Giägenständen un allem Luxus- un Flitterkroame dropfabrizeert , as wamme buter der Eärde ok noch dei Bewoahner des Moandes un aller Ploneten tau Affniämmern hädde , un as wann op un in der Eärde dei Rohprodukte nit te Enne gingen un immer , wie afgeschnieen Unkrut , van selwer wirr nohwössen .	0
imme Nowers Kiäspel was ne gefälligen , freygiewigen Pastauer .	0
so lepen de Jaren , Tyge un Maren kemen woll vörwarts , aver langsam , langsam , as Snicken , de mit Huus un Kluus en Boom ropkruupt .	1
hier weren em alle Jacken to eng , en Stangtoom leet he sik nich anleggen , he weer to welig un unbannig – dar in Amerika is Ruum un Gelegenheit , den Överfloot an Kraft an den Mann to bringen un darbi en ganzen Keerl to warrn. «	1
he is rein verleevt in de Fru .	1
» Iëck hewwe diëck wîer'efungen un wäit nu , dat du am Liäwen büs. « Dann saġġe Josef tiëger sine Bröüers un dei Verwandten : » Iëck gaoh nu nao 'm Pharao un melle iëhme , dat iëhrt dao sind ut diäm Lanne Kanaan .	0
met starker Hand hiäs du din Volk frî 'emaket .	0
sä äk düendag .	0
blouß nit dei Früchte van diäm Boume , dei dao in diär Mirre stäiht , wîl Guott 'esaġġt hiät : dao sollt iëhrt nit van iätten - ouk drüewet iëhrt diän nit anröühern ; denn süss mott iëhrt stiärwen ! « Dao saġġe dei Schlanget tiëger dei Frau : » Ach , küer duoch nit !	0
» Dat is prächtig , denn mutt ik 't man vertellen .	1
un nu en Vörslag , mien lütt Mike : du geist nu nett to Bett , un wenn Du Di wedder krall un krötig slapen hest , denn giffst Du mi de Muulschell dredoppelt wedder .	1
dicht an den Beek stunn achter 't Backhuus en krummen Ellhorn – en heemlich Flach , dar weer se moderselenalleen mit eer Gedanken .	1
„ Wenn et dann gar nit anners is , dann well ick wuol hyierothen , ower diu mast eune anfrogen , ick kann et nit gutt. “ „ Nai Junge , dat geuht nit , dat mast diu selwer dauen. “ „ Nai Mömme , dann well ick doch laiwer kaine Frau hewwen , denn ick weut myi do nit tau te stellen. “ „ Och Junge , dat is jo ne Kleinigkait !	0
dao schlaugen se iëhr Lager op .	0
sou lağğ se dao bis an diän lechten Dağğ .	0
Düüwelslähre	0
Fritz Thießen heet he .	1
weer doch as jung Keerl de eerst un de letzt an ' n Nijaarsabend , weer sogar ni bang vör minen Oom , garni bang !	1
